period_start,period_end,country_name,country_code,currency_name,currency_code,rate_new
2015-02-01,2015-02-28,Austria,AT,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Belgium,BE,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Cyprus,CY,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Estonia,EE,Euro,EUR,1.3008
2015-02-01,2015-02-28,Finland,FI,Euro ,EUR,1.3008
2015-02-01,2015-02-28,France,FR,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Germany,DE,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Greece,GR,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Ireland,IE,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Italy,IT,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Latvia,LV,Euro,EUR,1.3008
2015-02-01,2015-02-28,Lithuania,LT,Euro,EUR,1.3008
2015-02-01,2015-02-28,Luxembourg,LU,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Malta,MT,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Netherland,NL,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Portugal,PT,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Slovakia,SK,Euro,EUR,1.3008
2015-02-01,2015-02-28,Slovenia,SI,Euro ,EUR,1.3008
2015-02-01,2015-02-28,Spain,ES,Euro ,EUR,1.3008
2015-02-01,2015-02-28,European Community,EU,Euro ,EUR,1.3008
2015-03-01,2015-03-31,Austria,AT,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Belgium,BE,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Cyprus,CY,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Estonia,EE,Euro,EUR,1.3481
2015-03-01,2015-03-31,Finland,FI,Euro ,EUR,1.3481
2015-03-01,2015-03-31,France,FR,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Germany,DE,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Greece,GR,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Ireland,IE,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Italy,IT,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Latvia,LV,Euro,EUR,1.3481
2015-03-01,2015-03-31,Lithuania,LT,Euro,EUR,1.3481
2015-03-01,2015-03-31,Luxembourg,LU,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Malta,MT,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Netherland,NL,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Portugal,PT,Euro ,EUR,1.3481
2015-03-01,2015-03-31,Slovakia,SK,Euro,EUR,1.3481
2015-03-01,2015-03-31,Slovenia,SI,Euro ,EUR,1.3481
