period_start,period_end,country_name,country_code,currency_name,currency_code,rate_new
2015-02-01,2015-02-28,USA,US,Dollar ,USD,1.512
2015-03-01,2015-03-31,USA,US,Dollar ,USD,1.5383
2015-04-01,2015-04-30,USA,US,Dollar ,USD,1.4686
2015-05-01,2015-05-31,USA,US,Dollar ,USD,1.504
2015-06-01,2015-06-30,USA,US,Dollar ,USD,1.555
2015-07-01,2015-07-31,USA,US,Dollar ,USD,1.5711
2015-08-01,2015-08-31,USA,US,Dollar ,USD,1.5634
2015-09-01,2015-09-30,USA,US,Dollar ,USD,1.5648
2015-10-01,2015-10-31,USA,US,Dollar ,USD,1.523
2015-11-01,2015-11-30,USA,US,Dollar ,USD,1.546
2015-12-01,2015-12-31,USA,US,Dollar ,USD,1.521
2016-01-01,2016-01-31,USA,US,Dollar ,USD,1.5003
2016-02-01,2016-02-29,USA,US,Dollar ,USD,1.4144
2016-03-01,2016-03-31,USA,US,Dollar ,USD,1.4318
2016-04-01,2016-04-30,USA,US,Dollar ,USD,1.411
2016-05-01,2016-05-31,USA,US,Dollar ,USD,1.4403
2016-06-01,2016-06-30,USA,US,Dollar ,USD,1.4619
2016-07-01,2016-07-31,USA,US,Dollar ,USD,1.4672
2016-08-01,2016-08-31,USA,US,Dollar ,USD,1.3178
2016-09-01,2016-09-30,USA,US,Dollar ,USD,1.325
2016-10-01,2016-10-31,USA,US,Dollar ,USD,1.2961
2016-11-01,2016-11-30,USA,US,Dollar ,USD,1.2293
2016-12-01,2016-12-31,USA,US,Dollar ,USD,1.2399
2017-01-01,2017-01-31,USA,US,Dollar ,USD,1.2374
2017-02-01,2017-02-28,USA,US,Dollar ,USD,1.2343
2017-03-01,2017-03-31,USA,US,Dollar ,USD,1.2453
2017-04-01,2017-04-30,USA,US,Dollar ,USD,1.2475
2017-05-01,2017-05-31,USA,US,Dollar ,USD,1.281
2017-06-01,2017-06-30,USA,US,Dollar ,USD,1.2949
2017-07-01,2017-07-31,USA,US,Dollar ,USD,1.2664
2017-08-01,2017-08-31,USA,US,Dollar ,USD,1.3042
2017-09-01,2017-09-30,USA,US,Dollar ,USD,1.2795
2017-10-01,2017-10-31,USA,US,Dollar ,USD,1.3564
2017-11-01,2017-11-30,USA,US,Dollar ,USD,1.317
2017-12-01,2017-12-31,USA,US,Dollar ,USD,1.3284
2018-01-01,2018-01-31,USA,US,Dollar ,USD,1.3406
2018-02-01,2018-02-28,USA,US,Dollar ,USD,1.4223
2018-03-01,2018-03-31,USA,US,Dollar ,USD,1.3979
2018-04-01,2018-04-30,USA,US,Dollar ,USD,1.4065
2018-05-01,2018-05-31,USA,US,Dollar ,USD,1.4234
